Индекс;Тип региона;Регион;Город;Часовой пояс;Широта;Долгота;Население
346500;обл;Ростовская;Шахты;UTC+3;47.7084247;40.2159154;240152
360000;Респ;Кабардино-Балкарская;Нальчик;UTC+3;43.4846312;43.6070316;240095
462400;обл;Оренбургская;Орск;UTC+5;51.2293069;58.4751889;238006
167000;Респ;Коми;Сыктывкар;UTC+3;61.668789;50.8356491;235006
423570;Респ;Татарстан;Нижнекамск;UTC+3;55.6311963;51.814407;234108
665800;обл;Иркутская;Ангарск;UTC+8;52.5448102;103.8885385;233765
309500;обл;Белгородская;Старый Оскол;UTC+3;51.2965991;37.8349849;221163
173000;обл;Новгородская;Великий Новгород;UTC+3;58.5214003;31.2755051;218724
143900;обл;Московская;Балашиха;UTC+3;55.7963352;37.9381413;215353
675000;обл;Амурская;Благовещенск;UTC+9;50.2905935;127.5272186;214397
652701;обл;Кемеровская;Прокопьевск;UTC+7;53.8604562;86.7183428;210150
141400;обл;Московская;Химки;UTC+3;55.8886705;37.4304154;207125
180000;обл;Псковская;Псков;UTC+3;57.819284;28.3318188;203974
659300;край;Алтайский;Бийск;UTC+7;52.5393683;85.2138852;203826
413100;обл;Саратовская;Энгельс;UTC+4;51.4854893;46.1267479;202838
152900;обл;Ярославская;Рыбинск;UTC+3;58.0483802;38.858338;200771
413840;обл;Саратовская;Балаково;UTC+4;52.0222694;47.7828146;199576
164500;обл;Архангельская;Северодвинск;UTC+3;64.56253;39.8182715;192265
352900;край;Краснодарский;Армавир;UTC+3;45.0010338;41.132392;188897
142100;обл;Московская;Подольск;UTC+3;55.4389588;37.57027;187956
141070;обл;Московская;Королев;UTC+3;55.9162558;37.8545224;183452
693000;обл;Сахалинская;Южно-Сахалинск;UTC+11;46.959133;142.7381252;181727
683000;край;Камчатский;Петропавловск-Камчатский;UTC+12;53.0370213;158.6559142;179526
446000;обл;Самарская;Сызрань;UTC+4;53.1557213;48.4745419;178773
663300;край;Красноярский;Норильск;UTC+7;69.3490828;88.2009965;175301
456200;обл;Челябинская;Златоуст;UTC+5;55.1715695;59.6726264;174985
623400;обл;Свердловская;Каменск-Уральский;UTC+5;56.4149095;61.9189837;174710
141000;обл;Московская;Мытищи;UTC+3;55.9104647;37.7363702;173341
140000;обл;Московская;Люберцы;UTC+3;55.700416;37.9606496;171978
347360;обл;Ростовская;Волгодонск;UTC+3;47.5165181;42.1984531;170621
346400;обл;Ростовская;Новочеркасск;UTC+3;47.4119248;40.1042066;169039
655000;Респ;Хакасия;Абакан;UTC+7;53.7223661;91.4437792;165183
692900;край;Приморский;Находка;UTC+10;42.8240404;132.8927812;159695
692500;край;Приморский;Уссурийск;UTC+10;43.79726;131.9517262;157946
618400;край;Пермский;Березники;UTC+5;59.4079898;56.8040725;156350
453250;Респ;Башкортостан;Салават;UTC+5;53.3616311;55.9245559;156085
144000;обл;Московская;Электросталь;UTC+3;55.7847718;38.4446531;155324
456300;обл;Челябинская;Миасс;UTC+5;55.0455774;60.1077757;151812
623100;обл;Свердловская;Первоуральск;UTC+5;56.9081665;59.9429205;149800
658200;край;Алтайский;Рубцовск;UTC+7;51.5013075;81.2077729;146386
423403;Респ;Татарстан;Альметьевск;UTC+3;54.9013662;52.2970654;146309
601900;обл;Владимирская;Ковров;UTC+3;56.3553895;41.3169568;145492
140400;обл;Московская;Коломна;UTC+3;55.1027797;38.7531734;144642
298300;Респ;Крым;Керчь;UTC+3;45.3561128;36.4674285;144600
385000;Респ;Адыгея;Майкоп;UTC+3;44.6098268;40.1006527;144055
357500;край;Ставропольский;Пятигорск;UTC+3;44.0411669;43.0661091;142397
143000;обл;Московская;Одинцово;UTC+3;55.6789292;37.2636389;139021
456600;обл;Челябинская;Копейск;UTC+5;55.1167545;61.6180809;137604
368000;Респ;Дагестан;Хасавюрт;UTC+3;43.2505191;46.5852276;133929
301650;обл;Тульская;Новомосковск;UTC+3;54.0109754;38.2915652;131227
357700;край;Ставропольский;Кисловодск;UTC+3;43.905235;42.7167187;128502
142200;обл;Московская;Серпухов;UTC+3;54.9225396;37.4032682;126496
429950;Чувашия;Чувашская Республика;Новочебоксарск;UTC+3;56.109486;47.4791429;124094
628303;АО;Ханты-Мансийский Автономный округ - Югра;Нефтеюганск;UTC+5;61.0882837;72.6164185;123276
433500;обл;Ульяновская;Димитровград;UTC+4;54.2168446;49.6261645;122549
452680;Респ;Башкортостан;Нефтекамск;UTC+5;56.0883075;54.2483391;121757
369000;Респ;Карачаево-Черкесская;Черкесск;UTC+3;44.2268637;42.0467829;121439
